review_id,bank_name,review_text,rating,sentiment_label,sentiment_score,identified_theme(s),keywords
1,Commercial Bank of Ethiopia,It is nice app,5,Positive,0.8,No Theme,
2,Commercial Bank of Ethiopia,best,5,Positive,1.0,No Theme,
3,Commercial Bank of Ethiopia,good app,5,Positive,0.85,No Theme,
4,Commercial Bank of Ethiopia,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,Neutral,0.5,Account Access Issues,
5,Commercial Bank of Ethiopia,nice app...,5,Positive,0.8,No Theme,
6,Commercial Bank of Ethiopia,very good banking service and fast service,5,Positive,0.7775,Customer Support,
7,Commercial Bank of Ethiopia,thanks blc this app help me to use all time,5,Positive,0.6,Customer Support,
8,Commercial Bank of Ethiopia,good,5,Positive,0.85,No Theme,
9,Commercial Bank of Ethiopia,why we can't send money to other people telebirr wallets??,1,Negative,0.5625,Feature Requests,
10,Commercial Bank of Ethiopia,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,Neutral,0.5,No Theme,
11,Commercial Bank of Ethiopia,በጣም ቀላልና ምቹ ነው።,5,Neutral,0.5,No Theme,
12,Commercial Bank of Ethiopia,wow,5,Neutral,0.5,No Theme,
13,Commercial Bank of Ethiopia,nice,5,Positive,0.8,No Theme,
14,Commercial Bank of Ethiopia,you are the reason why i got ye chogara himem,1,Neutral,0.5,No Theme,
15,Commercial Bank of Ethiopia,it is so smart app i recommend it for everyone,5,Positive,0.6071,No Theme,
16,Commercial Bank of Ethiopia,excellent,5,Positive,1.0,No Theme,
17,Commercial Bank of Ethiopia,ዳጊ,5,Neutral,0.5,No Theme,
18,Commercial Bank of Ethiopia,absolutely right,5,Positive,0.6429,No Theme,
19,Commercial Bank of Ethiopia,mid application it's so annoying,3,Negative,0.7,No Theme,
20,Commercial Bank of Ethiopia,I used morethan one year,4,Neutral,0.5,User Interface & Experience,
21,Commercial Bank of Ethiopia,no word can explane about this app it is nice 👍👍👍👍👍,5,Positive,0.8,No Theme,
